AGE,GENDER,EDUCATION,GUESS 1,N,S,GUESS 2,TIME1,TIME2
21,1,3,400,2,460,400,50,23
21,2,3,400,100,415,400,8,6
21,2,3,400,5,404,400,5,20
21,1,2,400,2,350,399,136,21
20,2,3,400,50,325,380,23,13
19,1,3,400,10,294,350,34,12
19,-1,-1,400,10,581,300,24,6
18,2,2,407,10,278,367,48,35
26,2,4,409,1,238,398,40,64
58,2,4,417,1,719,517,6,31
20,2,3,420,1,377,420,94,14
29,2,4,420,100,248,350,11,22
19,2,3,420,10,365,330,22,52
18,1,3,423,50,395,423,64,19
52,2,4,423,2,370,400,125,18
18,2,3,425,50,240,400,58,22
18,2,3,425,2,228,400,21,22
18,1,2,425,50,357,398,24,15
21,1,3,425,2,613,350,16,13
22,2,3,425,1,391,279,10,3
18,1,3,426,10,838,426,26,9
21,2,3,427,10,844,623,6,16
20,1,3,430,2,409,430,239,13
20,2,3,430,10,247,360,84,89
24,1,2,432,1,797,432,12,7
18,1,3,432,1,338,430,50,18
18,1,3,432,10,388,415,89,18
29,1,4,435,1,303,430,30,13
18,1,2,436,2,824,512,8,17
50,1,3,437,2,832,537,32,27
21,1,3,440,10,560,445,38,18
19,2,3,444,100,707,555,38,8
22,2,-1,445,10,322,445,54,6
18,1,2,445,100,232,400,52,16
18,1,2,447,2,303,323,31,10
24,1,4,450,2,776,860,125,164
25,1,4,450,100,464,475,8,16
20,2,-1,450,100,826,470,39,30
41,1,4,450,2,317,450,42,7
25,2,4,450,1,314,450,17,15
23,2,4,450,2,637,450,83,7
21,1,3,450,50,259,450,70,15
19,1,3,450,5,245,450,50,17
20,2,3,450,5,409,430,43,11
20,1,3,450,1,290,430,5,6
18,1,2,452,5,510,478,78,8
20,1,3,454,100,798,454,67,13
20,1,3,455,2,615,505,23,22
32,1,3,455,5,258,500,14,19
65,2,4,458,10,337,419,12,16
21,2,3,460,100,772,570,19,16
50,-1,-1,460,50,297,460,53,14
21,1,3,460,1,834,460,103,10
20,1,3,465,1,478,465,37,12
19,1,3,465,2,256,450,14,18
42,2,3,470,50,700,470,42,14
18,1,3,471,1,414,471,18,12
24,1,4,473,1,391,473,32,15
32,1,4,475,1,392,500,206,182
19,1,3,475,1,654,475,4,10
26,2,3,480,2,939,525,50,12
18,1,3,480,5,454,490,19,28
22,1,3,480,1,290,480,56,7
20,2,3,480,1,411,480,115,12
20,2,3,480,50,385,480,64,44
19,2,3,480,1,584,480,49,11
18,1,2,480,2,341,480,61,20
18,2,2,480,10,398,450,38,7
19,1,3,484,5,832,484,94,11
36,2,4,485,50,413,485,22,11
20,1,3,487,100,397,487,56,28
17,2,2,489,1,526,545,21,25
53,1,3,489,5,423,473,22,17
18,1,-1,490,1,453,490,17,5
20,2,3,493,5,418,493,38,9
31,1,4,495,50,444,495,28,12
19,-1,-1,495,100,425,480,53,36
20,2,3,500,50,646,800,91,10
45,2,4,500,10,914,720,74,19
24,2,4,500,5,914,650,14,12
20,2,3,500,10,852,650,114,15
20,1,3,500,5,998,550,134,27
19,1,3,500,2,583,534,39,30
40,1,4,500,1,302,500,29,18
24,1,3,500,5,309,500,90,11
21,2,3,500,1,521,500,9,11
19,2,3,500,50,399,500,18,13
19,1,3,500,100,261,500,41,23
19,1,3,500,1,282,500,42,28
18,2,2,501,2,628,506,6,20
23,-1,-1,505,50,370,505,143,8
22,2,3,506,10,1002,510,193,19
19,1,3,510,1,463,510,63,15
17,1,2,511,10,883,511,55,9
18,1,2,512,10,841,512,14,30
20,1,3,513,50,423,513,15,12
19,1,3,516,100,499,516,84,16
17,1,2,517,10,433,517,230,10
22,1,3,520,10,343,450,73,63
30,2,4,523,5,1040,678,24,9
20,1,3,525,100,488,525,81,16
17,1,2,528,5,892,528,119,30
55,2,3,535,2,343,498,14,18
55,2,4,535,5,449,490,33,23
17,2,2,537,50,457,537,73,20
20,1,3,537,5,383,520,40,46
20,1,3,540,5,630,540,92,5
19,1,3,542,5,776,542,15,7
19,2,3,543,10,801,720,21,10
60,1,4,545,5,857,545,45,36
19,2,3,545,1,424,545,10,11
22,2,3,547,10,502,547,225,66
19,2,3,550,2,662,800,7,8
18,1,3,550,10,978,700,43,10
21,2,3,550,10,555,660,3,44
20,-1,-1,550,10,904,600,54,7
20,1,3,550,2,468,550,50,10
19,1,3,550,2,620,550,36,17
17,1,2,550,5,367,550,64,16
18,2,3,550,5,286,500,36,40
18,2,1,550,50,276,500,19,25
18,1,2,555,100,837,777,78,22
23,1,4,555,100,420,555,62,24
20,2,3,555,2,407,555,22,9
18,1,3,555,100,363,555,195,30
19,2,3,557,10,313,623,16,13
20,1,3,560,10,909,650,67,26
18,2,4,560,100,328,400,34,17
18,2,2,562,10,1037,578,157,44
19,1,3,564,1,469,534,58,15
17,1,2,567,1,611,567,18,11
22,2,3,567,50,296,423,70,18
22,1,3,570,10,353,610,125,104
21,-1,-1,572,1,448,565,33,10
20,1,3,575,1,530,575,24,7
19,-1,-1,575,10,493,545,24,10
19,1,3,576,10,497,576,74,11
64,2,4,586,5,1144,596,9,14
18,2,3,589,50,555,600,48,17
26,2,4,589,10,745,500,56,71
18,1,2,590,10,715,755,112,50
53,2,3,600,10,1028,800,29,45
69,1,3,600,5,1157,750,42,37
32,1,3,600,10,506,650,27,19
48,1,4,600,10,647,630,90,34
20,1,3,600,5,715,615,73,17
19,2,3,600,2,418,610,75,12
24,1,4,600,10,607,605,96,32
20,2,3,600,5,682,601,8,19
42,1,4,600,5,1082,600,12,12
27,1,4,600,5,310,600,23,7
22,1,3,600,10,577,600,65,11
20,1,3,600,1,741,600,103,5
20,1,3,600,5,860,600,92,12
19,1,3,600,2,619,600,113,22
19,2,2,600,1,884,600,4,10
18,1,2,600,10,462,600,19,11
18,2,2,600,5,720,600,110,29
19,2,3,600,100,403,585,6,19
18,1,2,600,5,517,575,93,34
20,1,3,600,50,508,507,181,25
17,2,2,600,10,344,450,43,12
28,1,4,600,2,372,372,39,13
62,-1,-1,601,10,692,800,28,12
36,1,3,601,100,308,601,205,54
18,1,3,610,5,728,650,86,23
19,2,3,610,5,537,610,49,8
18,2,2,612,2,496,558,28,23
17,1,3,616,1,1108,616,157,15
19,1,3,624,100,512,600,45,24
19,1,3,627,100,548,620,101,59
28,2,4,630,5,776,690,27,20
17,1,2,632,2,549,589,84,38
19,1,3,637,1,589,637,98,13
19,1,2,640,5,597,600,71,16
19,2,3,647,2,386,625,90,27
19,1,3,647,10,430,618,24,29
19,2,3,650,50,1119,750,97,37
22,1,3,650,50,679,693,130,17
17,2,2,650,1,391,650,33,32
19,2,3,650,10,641,641,111,17
18,2,1,652,100,463,552,23,14
18,1,2,657,10,1310,800,80,10
18,1,2,658,50,665,658,5,16
22,1,3,660,50,871,700,75,14
18,2,2,660,50,447,660,62,22
18,2,3,660,100,514,660,38,24
17,1,2,660,2,450,640,5,22
23,2,3,661,1,1057,661,74,26
19,1,2,663,1,491,619,7,15
35,2,4,666,10,403,666,61,17
17,2,1,666,100,602,666,74,23
19,1,3,666,50,644,650,90,28
19,-1,-1,669,1,986,670,121,13
18,1,2,670,1,602,700,94,31
46,2,3,672,10,634,688,15,14
19,1,3,675,50,580,675,5,9
22,1,4,678,1,953,712,11,11
21,2,3,683,5,563,623,72,44
18,2,2,689,50,723,1096,5,8
18,1,3,693,2,1158,695,27,12
22,1,3,700,100,1313,1000,55,13
24,1,4,700,5,1214,800,35,22
19,2,3,700,2,1397,800,73,25
22,2,3,700,2,626,750,47,12
18,-1,-1,700,50,627,750,17,12
17,1,2,700,50,984,750,53,24
30,1,4,700,5,388,700,35,47
19,2,3,700,1,549,700,86,41
20,2,3,700,50,462,650,34,29
20,2,3,705,2,1317,900,45,16
37,1,4,720,2,1072,960,34,18
18,1,2,720,100,999,813,65,14
20,2,3,720,100,520,720,40,19
20,2,3,720,5,473,500,43,65
20,1,3,725,50,492,725,21,18
21,2,3,725,50,449,600,64,26
17,2,2,729,1,1189,800,43,12
19,1,3,743,2,1200,744,32,14
50,1,4,744,1,1258,638,70,108
22,2,3,750,5,1103,1000,12,28
18,2,3,750,50,996,900,36,14
18,2,2,750,2,1128,800,56,50
34,1,4,750,2,1246,750,50,9
27,1,4,750,5,859,750,10,16
20,1,3,750,50,579,750,76,14
17,2,2,750,10,727,750,80,51
20,1,3,750,10,1006,650,5,27
19,1,3,754,5,1070,754,53,72
20,2,3,755,1,595,653,25,23
51,2,3,758,2,487,758,18,60
19,2,3,760,10,518,760,71,5
17,1,2,762,10,1368,935,4,14
31,-1,-1,765,1,484,815,9,6
18,-1,-1,765,1,1012,589,187,47
20,1,3,770,2,1241,1000,28,26
18,1,3,775,10,501,775,9,23
53,2,4,777,1,1337,777,117,27
19,-1,-1,777,5,791,777,27,16
22,2,3,780,2,1404,780,69,26
17,1,2,780,2,424,780,125,62
43,1,3,785,10,1313,785,48,51
18,1,3,786,1,1147,1024,54,19
20,2,3,786,2,804,996,10,11
18,2,2,790,2,1048,867,104,16
23,1,3,790,2,1180,850,53,24
56,1,3,792,100,1146,1088,10,18
55,1,3,792,2,441,645,47,29
54,2,4,793,100,804,793,30,12
51,1,4,800,2,1353,1300,17,27
21,1,3,800,1,1197,1000,22,22
19,2,3,800,1,660,920,42,42
18,2,2,800,10,598,850,22,9
21,1,3,800,1,1567,835,106,23
19,1,3,800,5,582,820,29,29
20,2,3,800,50,714,800,8,8
18,1,2,800,1,526,800,69,20
17,2,2,800,2,789,800,13,15
54,2,-1,800,50,694,794,21,35
30,2,4,800,5,612,750,37,35
26,1,3,800,50,829,723,35,28
18,1,2,800,5,558,650,50,18
20,2,3,812,1,529,815,110,17
18,1,2,813,5,650,735,22,19
25,2,3,816,10,1458,1096,5,32
20,2,3,820,2,519,810,133,45
42,-1,-1,823,10,1625,1282,48,37
19,1,3,825,50,1287,900,49,21
35,2,3,825,2,900,825,9,14
65,2,4,827,10,697,820,34,67
24,1,3,840,1,690,900,60,10
53,1,4,840,100,502,840,77,11
19,1,3,844,10,1380,960,48,21
20,1,3,850,2,1353,1150,57,22
46,2,3,850,2,655,925,50,15
22,1,3,850,100,1284,850,38,14
19,1,2,850,50,713,825,40,9
19,2,3,852,2,1227,963,30,72
19,1,-1,860,50,716,800,101,35
21,1,3,865,2,736,863,3,15
53,2,3,868,2,1591,978,15,24
20,2,3,880,1,1550,880,50,13
36,2,4,890,100,1708,1200,48,36
28,1,4,894,50,1684,894,34,11
19,2,3,895,2,781,895,37,17
18,1,2,900,50,1262,1100,141,30
18,1,3,900,10,1592,1100,67,20
20,1,3,900,1,647,920,48,13
25,1,4,900,10,1019,900,140,12
